trial_id,device,sample,relative_time_s,valid,acc_x_g,acc_y_g,acc_z_g,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,dynamic_acceleration_proxy_g,gyro_magnitude_deg_s
A10-R10,WTRhand,111,2.22,True,0.001976150437573292,-1.4308665348950402,0.1431284232213173,-33.54342269838273,36.84431072003384,-105.57203621388426,0.43800858529666353,116.73953601544966
A10-R10,WTRhand,112,2.24,True,0.06080641634417212,-1.4129838079303725,0.1587242890131853,-19.825020491702276,5.351221976472801,-99.02674570076056,0.423170426078612,101.1333939815183
A10-R10,WTRhand,113,2.26,True,0.12001866738589766,-1.3855746509531217,0.18181269566523883,-6.702216646352798,-21.45187240355274,-91.92307663782992,0.4025966812273629,94.63062166210952
A10-R10,WTRhand,114,2.28,True,0.180380732230345,-1.3576506585931527,0.19345990783684794,2.3322203530655212,-38.30676501887624,-84.47473994070967,0.38317723205618814,92.7837765239009
A10-R10,WTRhand,115,2.3,True,0.24251940984729775,-1.3462966390859927,0.18566563119971413,5.9217893147644185,-45.43553488429316,-76.27441775912803,0.38050788884950215,88.97888639112239
A10-R10,WTRhand,116,2.32,True,0.30212252414217766,-1.3473502348223279,0.16523273408421124,4.6418627622394375,-45.145986347592995,-66.90783154062964,0.3906590276853512,80.84778843400599
A10-R10,WTRhand,117,2.34,True,0.3494510007090283,-1.3265739937922878,0.1451942680298673,-1.045100247895351,-36.96177020938714,-56.04058400351309,0.3794911882180658,67.14023940227274
A10-R10,WTRhand,118,2.36,True,0.37585885621992754,-1.251839366690943,0.13345302723471003,-11.041511897231029,-18.764164537625803,-42.69646719248257,0.31384222426981,47.92699830461458
A10-R10,WTRhand,119,2.38,True,0.3782239599347117,-1.1310143914022175,0.12787629080224688,-23.746416193326247,7.983794589681265,-25.45180045626523,0.1994162176563079,35.7131265019241
A10-R10,WTRhand,120,2.4,True,0.35677451645746494,-1.0087443549674857,0.11961336503232124,-35.130394114171445,36.216969814729794,-4.4070184848921965,0.07664320290734294,50.64815204036809
A10-R10,WTRhand,121,2.42,True,0.3168773698746155,-0.9274936283479366,0.10191925427986809,-40.7126113035818,56.90694493650384,17.379803373669173,0.014584741057031003,72.09698098027557
A10-R10,WTRhand,122,2.44,True,0.27649686141571267,-0.89731382665116,0.07782244147189056,-38.726855093730016,64.69465096295175,35.60688497693257,0.05783284377519626,83.38475535989431
A10-R10,WTRhand,123,2.46,True,0.2608245158058221,-0.8980844781110618,0.05818832685311158,-31.27261422128179,60.922102706319166,48.19850087755653,0.0629989118195623,83.74111585855681
A10-R10,WTRhand,124,2.48,True,0.2798754398998114,-0.9020643215204066,0.05161655477072488,-22.394269083949208,51.85689804163307,56.56197917215582,0.05410646965655608,79.93684163247909
A10-R10,WTRhand,125,2.5,True,0.3163785443523417,-0.8956790922303519,0.05865556625642089,-14.940267870079438,43.4911874873636,63.53165920367284,0.048276881105667746,78.42809900961751
A10-R10,WTRhand,126,2.52,True,0.34279756844550385,-0.8862402780418045,0.07499730058766521,-8.747560297771784,37.337778542230566,70.91348568332997,0.046817646800360935,80.61855846758642
A10-R10,WTRhand,127,2.54,True,0.3474870081943113,-0.889433024936056,0.094181673375154,-1.4126921847834963,30.8634983404469,79.09899379591633,0.0404644278034918,84.91879679167697
A10-R10,WTRhand,128,2.56,True,0.3400121787186081,-0.9098492187372025,0.10620141970000166,8.91597685781682,21.61003027907296,87.94592324833707,0.022906031100402124,90.99985421963032
A10-R10,WTRhand,129,2.58,True,0.33451911487113006,-0.9360130761760548,0.1021449074994053,21.144636903426925,10.472485859020505,97.13899434236727,0.0007717482402794795,99.9637576909332
A10-R10,WTRhand,130,2.6,True,0.3339202168323331,-0.9552315751105585,0.0861866578445184,31.929698269224602,0.8826057843168422,105.97473702150282,0.015577773136040474,110.68391713031714
A10-R10,WTRhand,131,2.62,True,0.3299914382112488,-0.9680476075378875,0.07698481385742369,38.964081850130476,-4.785839936096795,113.51250670193477,0.025639888712026826,120.10908839914818
A10-R10,WTRhand,132,2.64,True,0.3132414790134231,-0.9830482508749382,0.08963594874807786,42.79116500771453,-7.481819421544502,119.13921518740311,0.035634438897606646,126.81172666612657
A10-R10,WTRhand,133,2.66,True,0.279405352261784,-1.0010252146660672,0.11889250455154834,44.83897376686993,-10.143702253919056,122.79063265765328,0.04606608725659278,131.11433076650684
A10-R10,WTRhand,134,2.68,True,0.2291203357999342,-1.0119372900211638,0.14582535081768588,44.77449317780243,-14.559290219555256,124.63133221467788,0.04774913035208628,133.22798932893838
