Camera,Point_ID,X_m,Y_m,Z_m,Clicked_X_px,Clicked_Y_px,Projected_X_px,Projected_Y_px,Residual_px,Camera_true_RMSE_px,Robust_inlier_count,Robust_inlier_RMSE_px
cam02,P10,2.700000047683716,2.1500000953674316,0.0,1368.5093994140625,811.2616577148438,1384.104431842346,815.7138877893188,16.21811915960894,16.999750135250096,12,3.9652677735189528
cam02,P11,-2.700000047683716,3.549999952316284,0.0,653.2897338867188,394.596923828125,658.6647748715831,404.7496292358983,11.487754031402309,16.999750135250096,12,3.9652677735189528
cam02,P12,-1.350000023841858,3.549999952316284,0.0,817.3309326171875,444.90289306640625,814.6177547723485,453.83122595997156,9.331476961127095,16.999750135250096,12,3.9652677735189528
cam02,P13,0.0,3.549999952316284,0.0,1018.5548706054688,509.42578125,1013.350687797923,513.1721550496669,6.412397004333516,16.999750135250096,12,3.9652677735189528
cam02,P14,1.350000023841858,3.549999952316284,0.0,1273.3656005859375,585.9783325195312,1274.0678770819509,585.3891977860604,0.9166635211649704,16.999750135250096,12,3.9652677735189528
cam02,P15,2.700000047683716,3.549999952316284,0.0,1611.2904052734375,692.058349609375,1628.4607549112936,672.7820258424694,25.81467731064632,16.999750135250096,12,3.9652677735189528
cam02,P16,-2.700000047683716,4.949999809265137,0.0,852.326416015625,365.0694885253906,854.7044677244634,377.11954249455755,12.282464353286137,16.999750135250096,12,3.9652677735189528
cam02,P17,-1.350000023841858,4.949999809265137,0.0,1019.6484375,406.6266174316406,1015.7983471369786,415.7250159558589,9.879476277056787,16.999750135250096,12,3.9652677735189528
cam02,P18,0.0,4.949999809265137,0.0,1223.0595703125,456.9325866699219,1215.374239719924,460.4435280585727,8.449320431355833,16.999750135250096,12,3.9652677735189528
cam02,P19,1.350000023841858,4.949999809265137,0.0,1473.495849609375,520.3618774414062,1468.0384771050144,511.9505934599888,10.026595277929635,16.999750135250096,12,3.9652677735189528
cam02,P20,2.700000047683716,4.949999809265137,0.0,1796.1102294921875,602.3824462890625,1796.3926336902648,569.9518442751987,32.43183157197135,16.999750135250096,12,3.9652677735189528
cam02,P21,-2.700000047683716,6.349999904632568,0.0,1025.116455078125,336.63568115234375,1017.3569564397691,351.8006821521018,17.034878175123815,16.999750135250096,12,3.9652677735189528
cam02,P22,-1.350000023841858,6.349999904632568,0.0,1194.625732421875,372.7247619628906,1178.9617833520565,382.27969652899674,18.348189965891383,16.999750135250096,12,3.9652677735189528
cam02,P23,0.0,6.349999904632568,0.0,1391.4752197265625,414.2818603515625,1374.6662707745659,416.2481790506249,16.923568598174292,16.999750135250096,12,3.9652677735189528
cam02,P24,1.350000023841858,6.349999904632568,0.0,1637.537109375,466.7750549316406,1615.6923882804283,453.4973459873438,25.563438628421753,16.999750135250096,12,3.9652677735189528
cam02,P26,-3.450000047683716,1.600000023841858,0.5,233.34417724609375,320.2315673828125,246.2943338854193,313.47966968328626,14.604611584288543,16.999750135250096,12,3.9652677735189528
cam02,P27,-3.450000047683716,1.600000023841858,1.0,226.78253173828125,214.1515655517578,244.2505471303473,210.57055086562957,17.83129910914295,16.999750135250096,12,3.9652677735189528
cam02,P28,-3.450000047683716,1.600000023841858,1.5,219.1272735595703,106.97797393798828,242.39231233040323,105.63293086126474,23.303887441510714,16.999750135250096,12,3.9652677735189528
cam03,P01,-2.700000047683716,0.75,0.0,1775.3316650390625,608.944091796875,1752.5293154881942,588.1484593082259,30.861067312115733,14.282520863047138,15,4.2879295266472655
cam03,P02,-1.350000023841858,0.75,0.0,1510.678466796875,559.7317504882812,1495.2941435846103,554.7173527046559,16.18090188561357,14.282520863047138,15,4.2879295266472655
cam03,P03,0.0,0.75,0.0,1290.86328125,522.549072265625,1282.0923196303982,524.702485014743,9.031442531544606,14.282520863047138,15,4.2879295266472655
cam03,P04,1.350000023841858,0.75,0.0,1111.511474609375,488.647216796875,1103.2417545801454,497.8426833338637,12.367088347493917,14.282520863047138,15,4.2879295266472655
cam03,P05,2.700000047683716,0.75,0.0,955.1255493164062,460.2134094238281,951.9472179697958,473.93032923636486,14.080329516471167,14.282520863047138,15,4.2879295266472655
cam03,P06,-2.700000047683716,2.1500000953674316,0.0,1653.941162109375,676.747802734375,1649.4216053200075,655.6774439241872,21.54962677083706,14.282520863047138,15,4.2879295266472655
cam03,P07,-1.350000023841858,2.1500000953674316,0.0,1366.322265625,614.4121704101562,1366.6439097153498,608.7163183928928,5.704926390710097,14.282520863047138,15,4.2879295266472655
cam03,P08,0.0,2.1500000953674316,0.0,1138.8516845703125,566.2933959960938,1139.0378252376051,567.9782072704925,1.6950626473264079,14.282520863047138,15,4.2879295266472655
cam03,P09,1.350000023841858,2.1500000953674316,0.0,955.1255493164062,526.9235229492188,953.3170894094691,532.7251283336589,6.076936092453471,14.282520863047138,15,4.2879295266472655
